weekday,hour,crashes,severe_rate
0,0,12217,18.949005484161415
0,1,10394,16.63459688281701
0,2,10168,17.574744295830055
0,3,10202,19.33934522642619
0,4,25545,22.924251321197886
0,5,37154,21.7338644560478
0,6,67319,21.286709547081806
0,7,96401,19.60456841734007
0,8,95887,19.872349745012357
0,9,55105,21.684057708011977
0,10,50116,21.14693910128502
0,11,50197,20.40161762655139
0,12,47077,20.508953416742784
0,13,52394,19.696911860136655
0,14,60075,19.6354556803995
0,15,73470,19.949639308561316
0,16,84110,20.462489596956367
0,17,83930,21.558441558441558
0,18,60504,22.691061747983603
0,19,39688,22.661761741584357
0,20,29267,23.989476201865582
0,21,23202,23.148866477027845
0,22,20067,23.27702197637913
0,23,14318,16.824975555245146
1,0,12979,17.736343323830802
1,1,10722,14.689423614997201
1,2,9557,17.474102751909594
1,3,9072,19.27910052910053
1,4,22843,22.427001707306395
1,5,36740,21.238432226456176
1,6,72956,20.998958276221284
1,7,110840,19.64723926380368
1,8,109971,19.763392167025852
1,9,60557,22.55065475502419
1,10,52221,21.08347216636985
1,11,49875,20.58546365914787
1,12,47464,20.21532108545424
1,13,53672,18.972648680876432
1,14,61753,18.70840283063171
1,15,76775,19.131227613155325
1,16,90518,20.249011246381933
1,17,92393,21.40205426818049
1,18,66676,22.63483112364269
1,19,41162,23.492541664642147
1,20,29617,23.65195664652058
1,21,23624,23.22214696918388
1,22,20688,22.51063418406806
1,23,15248,16.723504721930745
2,0,13431,17.705308614399524
2,1,11476,14.534681073544789
2,2,10236,15.308714341539664
2,3,9408,18.81377551020408
2,4,24038,22.439470837840087
2,5,37364,20.875709238839523
2,6,72447,21.13959170151973
2,7,108922,18.99891665595564
2,8,107630,19.340332621016447
2,9,60980,21.789111183994752
2,10,52391,21.165849096218817
2,11,51392,20.487624533001245
2,12,48941,20.25500091947447
2,13,55802,18.716175047489337
2,14,63452,18.738574040219376
2,15,78155,19.60591133004926
2,16,90986,20.425120348185434
2,17,94034,21.563477040219496
2,18,68040,22.838036449147562
2,19,42936,23.136761691820386
2,20,31092,23.128135854882284
2,21,24756,22.406689287445467
2,22,22039,22.0064431235537
2,23,15916,17.30334254837899
3,0,13891,16.471096393348212
3,1,12100,13.917355371900827
3,2,11014,15.207917196295623
3,3,10198,18.68013335948225
3,4,24815,22.29699778359863
3,5,37075,21.0708024275118
3,6,69140,20.69568990454151
3,7,104584,18.86999923506464
3,8,102396,19.378686667447948
3,9,58799,22.04459259511216
3,10,52592,21.10206875570429
3,11,51872,20.014651449722393
3,12,50142,20.39806948266922
3,13,56744,19.335965035950938
3,14,65464,18.94323597702554
3,15,80366,19.62148172112585
3,16,92490,20.92766785598443
3,17,93895,21.723201448426433
3,18,67061,23.727650944662322
3,19,44012,23.73898027810597
3,20,32018,23.952151914548068
3,21,26163,22.581508236822994
3,22,23045,23.50618355391625
3,23,16261,17.637291679478505
4,0,14385,17.34445603058742
4,1,12480,14.83974358974359
4,2,11781,16.27196333078686
4,3,11130,19.11051212938005
4,4,27753,22.267862933736893
4,5,36508,21.841788101238084
4,6,62611,20.842982862436312
4,7,90120,18.91145139813582
4,8,88828,18.470527311208176
4,9,54960,20.352983988355167
4,10,54200,20.178966789667896
4,11,58274,19.289906304698494
4,12,58548,19.778643164582906
4,13,65284,20.015624042644443
4,14,74149,19.827644337752364
4,15,89229,21.118694594806623
4,16,99228,22.34449953642117
4,17,94454,22.812162534143603
4,18,73003,23.308631152144432
4,19,50376,23.926075909163096
4,20,35917,25.01879332906423
4,21,29110,22.964616970113365
4,22,26178,22.660249064099624
4,23,18723,17.790952304652034
5,0,15952,16.91323971915747
5,1,14380,15.3894297635605
5,2,15145,17.814460217893693
5,3,11815,19.22979263647905
5,4,12049,23.02265748194871
5,5,12705,21.865407319952773
5,6,16253,26.069033409216757
5,7,19404,31.076066790352503
5,8,20753,29.272876210668336
5,9,25188,26.41734159123392
5,10,29378,25.896929675267206
5,11,34022,26.312386103109752
5,12,36285,25.919801570897068
5,13,38126,25.79604469390967
5,14,38527,25.14340592311885
5,15,35973,25.168876657493122
5,16,34258,24.27170295989258
5,17,31049,22.976585397275276
5,18,29735,23.410122750966874
5,19,25861,22.75627392598894
5,20,23382,21.670515781370284
5,21,22705,21.611979740145344
5,22,19979,19.830822363481655
5,23,16229,16.316470515743422
6,0,15597,17.663653266653846
6,1,14191,17.83524769219928
6,2,14493,19.975160422272822
6,3,12404,20.590132215414382
6,4,12034,24.04852916735915
6,5,12033,24.22504778525721
6,6,14453,29.170414446827646
6,7,16518,32.98825523671147
6,8,16178,29.595747311163308
6,9,18478,26.90226214958329
6,10,22727,26.316715800589606
6,11,26583,26.79908212015198
6,12,28447,26.726895630470697
6,13,30339,28.432051155278682
6,14,31277,27.269239377178117
6,15,29421,27.91203562081506
6,16,28587,27.32011053975583
6,17,26871,24.487365561385882
6,18,25602,25.150378876650258
6,19,23010,24.0851803563668
6,20,20590,22.695483244293346
6,21,19940,22.72818455366098
6,22,16609,20.76584984044795
6,23,13733,16.879050462389863
